date,nav_per_unit,short_name
2012-12-13,14574.88,DCDS
2012-12-20,14829.48,DCDS
2012-12-27,15086.68,DCDS
2012-12-31,15200.52,DCDS
2013-01-03,15308.15,DCDS
2013-01-10,16549.22,DCDS
2013-01-17,16511.02,DCDS
2013-01-24,16314.43,DCDS
2013-01-31,16961.55,DCDS
2013-02-07,17175.01,DCDS
2013-02-14,17205.66,DCDS
2013-02-21,16884.07,DCDS
2013-02-28,16616.67,DCDS
2013-03-07,16550.09,DCDS
2013-03-14,16848.46,DCDS
2013-03-21,17329.6,DCDS
2013-03-28,17348.37,DCDS
2013-03-31,17346.02,DCDS
2013-04-04,17568.39,DCDS
2013-04-11,17793.19,DCDS
2013-04-18,17062.07,DCDS
2013-04-25,17134.94,DCDS
2013-04-30,17069.93,DCDS
2013-05-02,16968.89,DCDS
2013-05-09,17327.16,DCDS
2013-05-16,17484.85,DCDS
2013-05-23,17916.75,DCDS
2013-05-30,18669.26,DCDS
2013-05-31,18672.63,DCDS
2013-06-06,18733.16,DCDS
2013-06-13,18681.24,DCDS
2013-06-20,18211.65,DCDS
2013-06-27,17809.49,DCDS
2013-06-30,17786.01,DCDS
2013-07-04,18039.42,DCDS
2013-07-11,17926.58,DCDS
2013-07-18,18261.66,DCDS
2013-07-25,18188.62,DCDS
2013-07-31,18218.17,DCDS
2013-08-01,18240.26,DCDS
2013-08-08,18426.38,DCDS
2013-08-15,18837.28,DCDS
2013-08-22,18625.77,DCDS
2013-08-29,18023.56,DCDS
2013-08-31,18052.01,DCDS
2013-09-05,18334.27,DCDS
2013-09-12,18341.37,DCDS
2013-09-19,18430.1,DCDS
2013-09-26,18677.95,DCDS
2013-09-30,18797.68,DCDS
2013-10-03,18705.63,DCDS
2013-10-08,18910.47,DCDS
2013-10-09,18930.37,DCDS
2013-10-16,18884.23,DCDS
2013-10-23,18963.98,DCDS
2013-10-30,18875.43,DCDS
2013-10-31,18839.75,DCDS
2013-11-06,18940.0,DCDS
2013-11-13,18812.25,DCDS
2013-11-20,19182.04,DCDS
2013-11-27,19342.88,DCDS
2013-11-30,19225.02,DCDS
2013-12-04,19334.54,DCDS
2013-12-11,19103.53,DCDS
2013-12-18,19133.9,DCDS
2013-12-25,18988.66,DCDS
2013-12-31,19050.95,DCDS
2014-01-01,19050.27,DCDS
2014-01-08,19380.31,DCDS
2014-01-15,20005.19,DCDS
2014-01-22,20757.64,DCDS
2014-01-31,21017.55,DCDS
2014-02-05,21013.23,DCDS
2014-02-12,21236.36,DCDS
2014-02-19,21897.2,DCDS
2014-02-26,22373.96,DCDS
2014-02-28,22195.3,DCDS
2014-03-05,21697.32,DCDS
2014-03-12,22320.0,DCDS
2014-03-19,23018.36,DCDS
2014-03-26,22323.25,DCDS
2014-03-31,22534.05,DCDS
2014-04-02,22230.74,DCDS
2014-04-09,22982.21,DCDS
2014-04-16,21844.82,DCDS
2014-04-23,21500.32,DCDS
2014-04-30,21921.24,DCDS
2014-05-04,21917.67,DCDS
2014-05-07,21227.94,DCDS
2014-05-14,19816.41,DCDS
2014-05-21,20387.21,DCDS
2014-05-28,20682.26,DCDS
2014-05-31,20713.14,DCDS
2014-06-04,20384.42,DCDS
2014-06-11,20784.09,DCDS
2014-06-18,20974.29,DCDS
2014-06-25,21100.91,DCDS
2014-06-30,21232.86,DCDS
2014-07-02,21377.57,DCDS
2014-07-09,21738.21,DCDS
2014-07-16,21961.71,DCDS
2014-07-23,22261.43,DCDS
2014-07-30,21759.34,DCDS
2014-07-31,22034.12,DCDS
2014-08-06,22263.74,DCDS
2014-08-13,22289.24,DCDS
2014-08-20,22541.99,DCDS
2014-08-27,23444.6,DCDS
2014-08-31,23713.31,DCDS
2014-09-03,23744.59,DCDS
2014-09-10,23531.19,DCDS
2014-09-17,23917.23,DCDS
2014-09-24,23041.54,DCDS
2014-09-25,23267.64,DCDS
2014-09-26,23116.61,DCDS
2014-09-29,23005.29,DCDS
2014-09-30,23000.2,DCDS
2014-10-01,23423.74,DCDS
2014-10-02,23669.65,DCDS
2014-10-03,23621.49,DCDS
2014-10-06,23714.7,DCDS
2014-10-07,23723.35,DCDS
2014-10-08,23728.89,DCDS
2014-10-09,23855.04,DCDS
2014-10-10,23549.2,DCDS
2014-10-13,23525.03,DCDS
2014-10-14,23197.72,DCDS
2014-10-15,23083.34,DCDS
2014-10-16,22346.0,DCDS
2014-10-17,22337.05,DCDS
2014-10-20,22421.81,DCDS
2014-10-21,22707.02,DCDS
2014-10-22,22908.36,DCDS
2014-10-23,22611.75,DCDS
2014-10-24,22546.71,DCDS
2014-10-27,22059.35,DCDS
2014-10-28,22237.45,DCDS
2014-10-29,22601.29,DCDS
2014-10-30,22604.04,DCDS
2014-10-31,22943.91,DCDS
2014-11-03,23093.62,DCDS
2014-11-04,22904.49,DCDS
2014-11-05,22828.16,DCDS
2014-11-06,22801.45,DCDS
2014-11-07,22946.33,DCDS
2014-11-10,22910.12,DCDS
2014-11-11,23019.46,DCDS
2014-11-12,22989.52,DCDS
2014-11-13,22966.61,DCDS
2014-11-14,22792.81,DCDS
2014-11-17,22762.12,DCDS
2014-11-18,22545.92,DCDS
2014-11-19,22293.39,DCDS
2014-11-20,22477.25,DCDS
2014-11-21,22241.87,DCDS
2014-11-24,22042.61,DCDS
2014-11-25,22180.64,DCDS
2014-11-26,22025.81,DCDS
2014-11-27,21999.77,DCDS
2014-11-28,21610.52,DCDS
2014-11-30,21609.05,DCDS
2014-12-01,21602.06,DCDS
2014-12-02,21723.84,DCDS
2014-12-03,21927.24,DCDS
2014-12-04,21932.4,DCDS
2014-12-05,21907.28,DCDS
2014-12-08,21538.18,DCDS
2014-12-09,20815.19,DCDS
2014-12-10,21111.88,DCDS
2014-12-11,20890.82,DCDS
2014-12-12,20980.72,DCDS
2014-12-15,20844.67,DCDS
2014-12-16,20342.2,DCDS
2014-12-17,19727.5,DCDS
2014-12-18,20134.64,DCDS
2014-12-19,19942.94,DCDS
2014-12-22,20387.28,DCDS
2014-12-23,20375.15,DCDS
2014-12-24,20467.87,DCDS
2014-12-25,20250.85,DCDS
2014-12-26,20149.13,DCDS
2014-12-29,20106.85,DCDS
2014-12-30,20387.81,DCDS
2014-12-31,20768.75,DCDS
2015-01-05,20682.14,DCDS
2015-01-06,20794.58,DCDS
2015-01-07,20915.75,DCDS
2015-01-08,20840.29,DCDS
2015-01-09,21203.16,DCDS
2015-01-12,21133.45,DCDS
2015-01-13,21250.01,DCDS
2015-01-14,21304.49,DCDS
2015-01-15,21432.43,DCDS
2015-01-16,21325.22,DCDS
2015-01-19,21221.81,DCDS
2015-01-20,21278.7,DCDS
2015-01-21,21269.77,DCDS
2015-01-22,21354.26,DCDS
2015-01-23,21501.34,DCDS
2015-01-26,21480.51,DCDS
2015-01-27,21418.87,DCDS
2015-01-28,21452.3,DCDS
2015-01-29,21515.28,DCDS
2015-01-30,21342.94,DCDS
